Sr. No,Symbol,Series,Security Name,From,To
186,SUNDARAM,EQ,SUNDARAM MULTI PAP LIMITED,5,10
187,SURAJEST,EQ,SURAJ ESTATE DEVELOPERS LIMITED,5,20
188,SURANAT&P,EQ,SURANA TELECOM AND POWER LIMITED,5,10
189,SWSOLAR,EQ,STERLING AND WILSON RENEWABLE ENERGY LIMITED,5,10
190,TARC,EQ,TARC LIMITED,5,10
191,TARMAT,EQ,TARMAT LIMITED,5,10
192,TCLCONS,EQ,TANTIA CONSTRUCTIONS LIMITED,5,10
193,TIMESGTY,EQ,TIMES GUARANTY LIMITED,5,10
194,TNTELE,EQ,TAMILNADU TELECOMMUNICATION LIMITED,5,10
195,TOKYOPLAST,EQ,TOKYO PLAST INTERNATIONAL LIMITED,5,10
196,TOTAL,EQ,TOTAL TRANSPORT SYSTEMS LIMITED,5,10
197,TOUCHWOOD,EQ,TOUCHWOOD ENTERTAINMENT LIMITED,5,10
198,TPHQ,EQ,TEAMO PRODUCTIONS HQ LIMITED,5,10
199,TPLPLASTEH,EQ,TPL PLASTECH LIMITED,5,10
200,TRUST,SM,TRUST FINTECH LIMITED,5,10
201,UNIVASTU,EQ,UNIVASTU INDIA LIMITED,5,10
202,VAKRANGEE,EQ,VAKRANGEE LIMITED,5,10
203,VERANDA,EQ,VERANDA LEARNING SOLUTIONS LIMITED,5,10
204,VERTOZ,EQ,VERTOZ LIMITED,5,10
205,VIAZ,SM,VIAZ TYRES LIMITED,5,10
206,VITAL,SM,VITAL CHEMTECH LIMITED,5,10
207,WALCHANNAG,EQ,WALCHANDNAGAR INDUSTRIES LIMITED,5,10
208,WEWIN,EQ,WE WIN LIMITED,5,10
209,WIPL,EQ,THE WESTERN INDIA PLYWOODS LIMITED,5,10
210,WOCKPHARMA,EQ,WOCKHARDT LIMITED,5,10
211,ZEELEARN,EQ,ZEE LEARN LIMITED,5,10
212,ZODIACLOTH,EQ,ZODIAC CLOTHING COMPANY LIMITED,5,10
